Codice," Articolo"," Posizione Live",Appunti,Categoria,Descrizione,Etichetta Messa?,Parent item,Prenotazione,Stato,Sub-item
,Cavalletto microfono da terra,Studio,,"Audio, Stativo/Cavaletto",,NO,,,Operativo e funzionate,
C-MIC-SHR-006,AZZURRO 1 Cavo Microfono Shure LUNGO,Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
C-MIC-SHR-004,"GIALLO 1 Cavo Microfono Shure ",Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
C-MIC-SHR-005,ARANCIONE 1 Cavo Microfono Shure CORTO,Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
C-LU-NWR-002,Cavo Power Supply NEEWER,Studio,,"Cavo, Luci",,SI,Untitled (https://www.notion.so/e9e142d312d347fe94ac90590fc4e189?pvs=21),,Operativo e funzionate,
,,,,,,,,,,
CF-OO-001,Cuffie Rosse OneOdio,Studio,,"Accessorio, Audio",,SI,,,Operativo e funzionate,
CF-OO-002,Cuffie Rosse OneOdio,Studio,,"Accessorio, Audio",,SI,,,Operativo e funzionate,
CF-OO-003,Cuffie Rosse OneOdio,Studio,,"Accessorio, Audio",,SI,,,Operativo e funzionate,
,,,,,,,,,,
TAV-NRA-001,Tavolo nero Alto,Studio,,Arredamento,,SI,,,Operativo e funzionate,
TAV-NRB-001,Tavolino nero basso,Studio,,Arredamento,,SI,,,Operativo e funzionate,
L-ORO-001,Lampada da terra oro,Studio,,"Arredamento, Luci",,SI,,,Operativo e funzionate,
PL-MAR-001,Panello led Marangoni,Studio,,Arredamento,,SI,,,Operativo e funzionate,
FD-MAR-001,Fondale Marangoni,Studio,,"Arredamento, Luci",,SI,,,Operativo e funzionate,"SC-TFG-003 (Inventario%202025/SC-TFG-003%20bb74c3d721f940a28c95b863beb64fc9.csv), SC-TFG-004 (Inventario%202025/SC-TFG-004%207690031adbd04bb3b597f4cd99093ce2.csv), SC-PFG-002 (Inventario%202025/SC-PFG-002%20ebf3dba0d9b24ec49174331807e747a6.csv)"
FD-MAT-001,Fondale Mattoni,Studio,,Arredamento,,SI,,,Operativo e funzionate,"SC-TFG-001 (Inventario%202025/SC-TFG-001%2036c5da4e5d21473db81d09a1701f43c1.csv), SC-TFG-002 (Inventario%202025/SC-TFG-002%20b022ab75e4af4aa7bf2ef2440e2f09d9.csv), SC-PFG-001 (Inventario%202025/SC-PFG-001%20127d76173a224a1794d79fb630fb68a8.csv)"
FD-LIB-001,"Fondale libreria ",Studio,,Arredamento,,SI,,,Operativo e funzionate,
,,,,,,,,,,
SC-TFG-001,Stativo Fondale Grande,,,,,SI,FD-MAT-001 (Inventario%202025/FD-MAT-001%20658b49c66e44440a91008d77ac15fa2a.csv),,,
SC-TFG-002,Stativo Fondale Grande,,,,,SI,FD-MAT-001 (Inventario%202025/FD-MAT-001%20658b49c66e44440a91008d77ac15fa2a.csv),,,
SC-TFG-003,Stativo Fondale Grande,,,,,SI,FD-MAR-001 (Inventario%202025/FD-MAR-001%2030520f8b5f424b32a9170cd76b7c2047.csv),,,
SC-TFG-004,Stativo Fondale Grande,,,,,SI,FD-MAR-001 (Inventario%202025/FD-MAR-001%2030520f8b5f424b32a9170cd76b7c2047.csv),,,
SC-PFG-001,Palo orizzontale Fondale Grande,,,,,SI,FD-MAT-001 (Inventario%202025/FD-MAT-001%20658b49c66e44440a91008d77ac15fa2a.csv),,,
SC-PFG-002,Palo orizzontale Fondale Grande,,,,,SI,FD-MAR-001 (Inventario%202025/FD-MAR-001%2030520f8b5f424b32a9170cd76b7c2047.csv),,,
SC-TFP-001,Stativo Fondale Piccolo,,,,,SI,,,,
SC-TFP-002,Stativo Fondale Piccolo,,,,,SI,,,,
SC-PFP-001,Palo orizzontale Fondale Piccolo,,,,,SI,,,,
,,,,,,,,,,
TAB-SMG-001,Tablet Samsung,,,,,SI,,,,
C-LU-NWR-001,Cavo Power Supply NEEWER,Studio,,"Cavo, Luci",,SI,,,Operativo e funzionate,
,,,,,,,,,,
,"Cavo corto USB-C
Silkland",Studio,,Cavo,,,,,Operativo e funzionate,
,Cavo Anker 1.8 USB-C,Studio,,Cavo,,,,,Operativo e funzionate,
,Cavo Anker 1.8 USB-C,Studio,,Cavo,,,,,Operativo e funzionate,
,Alimentatore Anker,Studio,,"Accessorio, Cavo",,,,,Operativo e funzionate,
,,,,,,,,,,
C-RC-RODE-002,Alimentatore RodeCaster PRO 2,Studio,,"Audio, Cavo",,NO,,,Operativo e funzionate,
,,,,,,,,,,
,Zaino Trolley NEEWER 1,,,,,NO,,,,
,Zaino Trolley NEEWER 2,,,,,NO,,,,
,Stativo Nuovo 1,,,,,NO,,,,
,Stativo Nuovo 2,,,,,NO,,,,
,Stativo Nuovo 3,,,,,NO,,,,
MSD-SDK-128-004,Scheda (black) MicroSD SanDisk Extreme 128GB (R1),Studio,,"Accessorio, Memoria, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-008,"Batteria fotocamera Lumix ",Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
BT-LMX-007,"Batteria fotocamera Lumix ",Studio,,"Accessorio, Videocamere",,SI,,,Operativo e funzionate,
SC-MFT-X-002,Cavalletto Manfrotto BeFree,Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
SC-MFT-X-002B,Testina Manfrotto BeFree Ball,Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
SC-MFT-X-002R,Testina Manfrotto BeFree regolabile,Studio,,"Stativo/Cavaletto, Videocamere",,SI,,,Operativo e funzionate,
MIC-SHR-005,Microfono Shure MV7X (5),Studio,,"Audio, Microfono",,SI,,,Operativo e funzionate,
MIC-SHR-006,Microfono Shure MV7X (6),Studio,,"Audio, Microfono",,SI,,,Operativo e funzionate,
MIC-SHR-007,Microfono Shure MV7X (7),Studio,,"Audio, Microfono",,SI,,,Operativo e funzionate,
SSD-SDK-002,SSD SanDisk 1TB,Vittorio,da formattare,Memoria,,SI,,,In riparazione,
HSS-WD-001,HDD WD 5TB,Matteo,da formattare,Memoria,,SI,,,In riparazione,
HDMI-15M-01,Cavo HDMI 15M (Viola 1),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
HDMI-15M-02,Cavo HDMI 15M (Arancione 2),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
HDMI-15M-03,Cavo HDMI 15M (Verde 3),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
HDMI-15M-04,Cavo HDMI 15M (Azzurro 4),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
HDMI-15M-05,Cavo HDMI 15M (Giallo 5),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
USBC-3M-01,Cavo USB-C 3M (Viola),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
USBC-3M-02,Cavo USB-C 3M  (Arancione),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
USBC-3M-03,Cavo USB-C 3M (Verde),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
USBC-3M-04,Cavo USB-C 3M  (Azzurro),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
USBC-3M-05,Cavo USB-C 3M  (Giallo),Studio,,"Cavo, Videocamere",,SI,,,Operativo e funzionate,
XLR-15M-01,Cavo XLR 15M (Arancione),Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
XLR-15M-02,Cavo XLR 15M (Verde),Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
XLR-15M-03,Cavo XLR 15M (Azzurro),Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
